,brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
2327,Hyundai,2,4000,Dealer,Petrol,Automatic,15.0,1396,100.0,5,875000
2328,Mahindra,4,60000,Individual,Diesel,Manual,16.5,1493,70.0,7,800000
2329,Maruti,3,5917,Dealer,Petrol,Manual,23.95,998,67.05,5,371000
2330,Skoda,10,56468,Dealer,Petrol,Manual,13.14,1798,157.8,5,479000
2331,Hyundai,4,41280,Dealer,Petrol,Manual,17.0,1197,80.0,5,585000
2332,Hyundai,7,49000,Dealer,Petrol,Manual,18.9,1197,82.0,5,459000
2333,Honda,4,58000,Dealer,Diesel,Manual,25.5,1498,98.6,5,885000
2334,Hyundai,7,57000,Dealer,Diesel,Automatic,19.5,1582,126.24,5,785000
2335,Hyundai,4,24000,Dealer,Diesel,Manual,22.54,1396,88.73,5,750000
2336,Maruti,6,50000,Individual,Diesel,Manual,20.77,1248,88.76,7,707000
2337,Maruti,7,51890,Dealer,CNG,Manual,17.5,1373,80.46,7,595000
2338,Honda,14,58641,Dealer,Petrol,Manual,17.7,1497,78.0,5,195000
2340,Maruti,4,25000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,795000
2341,Hyundai,4,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,615000
2342,Maruti,3,21000,Dealer,Petrol,Manual,21.01,1197,81.8,5,731000
2343,Honda,8,67000,Dealer,Petrol,Automatic,15.6,1497,116.3,5,475000
2344,Renault,5,7000,Dealer,Petrol,Manual,22.3,799,53.26,5,325000
2345,Renault,3,42000,Dealer,Petrol,Manual,23.01,999,67.0,5,400000
2346,Hyundai,10,58000,Dealer,Petrol,Manual,17.1,1591,121.3,5,399000
2347,Maruti,4,31400,Dealer,Diesel,Manual,28.09,1248,88.5,5,785000
2348,Hyundai,4,35000,Individual,Diesel,Manual,19.67,1582,126.2,5,1125000
2349,Ford,8,56260,Dealer,Petrol,Manual,18.88,999,123.37,5,499000
2350,Maruti,14,115000,Dealer,Petrol,Manual,21.79,998,67.05,5,110000
2351,Hyundai,8,34579,Dealer,Petrol,Manual,20.36,1197,78.9,5,295000
2352,Volkswagen,6,27000,Dealer,Petrol,Automatic,16.93,1197,103.2,5,665000
2353,Hyundai,4,20000,Dealer,Petrol,Manual,18.6,1197,81.83,5,690000
2354,Maruti,13,50000,Dealer,Petrol,Manual,19.7,796,46.3,5,145000
2355,Volkswagen,10,59526,Dealer,Diesel,Manual,20.54,1598,103.6,5,375000
2356,Maruti,3,25000,Dealer,Petrol,Manual,20.65,1462,103.25,5,765000
2358,Maruti,5,67518,Dealer,Diesel,Manual,28.09,1248,88.5,5,755000
2359,Maruti,7,54000,Dealer,CNG,Manual,22.8,1373,80.9,7,675000
2361,Datsun,6,22211,Dealer,Petrol,Manual,19.02,1198,67.05,5,249000
2362,Maruti,7,47000,Dealer,Diesel,Manual,22.9,1248,74.0,5,500000
2363,Honda,13,57000,Dealer,Petrol,Automatic,13.9,1799,130.2,5,250000
2364,Renault,4,8560,Dealer,Petrol,Automatic,24.04,999,67.0,5,371000
2365,Maruti,4,72000,Individual,Diesel,Manual,26.59,1248,74.0,5,720000
2366,Maruti,6,39983,Dealer,Petrol,Manual,21.79,998,67.05,5,425000
2367,Hyundai,6,78000,Dealer,Petrol,Manual,18.9,1197,82.0,5,425000
2368,Ford,1,6000,Dealer,Diesel,Manual,23.0,1498,98.96,5,1095000
2369,Honda,5,32000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,845000
2370,Hyundai,6,81000,Dealer,Diesel,Manual,19.67,1582,126.2,5,975000
2371,Maruti,9,24000,Dealer,Petrol,Automatic,24.12,1197,88.5,5,411000
2372,Honda,8,64000,Dealer,Diesel,Manual,25.8,1498,98.6,5,396000
2373,Maruti,3,22000,Dealer,Petrol,Manual,21.4,1197,83.1,5,750000
2374,Ford,10,48971,Dealer,Diesel,Manual,20.0,1399,68.0,5,282000
2375,Maruti,6,40000,Individual,Petrol,Automatic,20.51,998,67.04,5,450000
2377,Hyundai,4,16000,Dealer,Petrol,Manual,18.9,1197,82.0,5,490000
2378,Ford,7,44406,Dealer,Petrol,Manual,18.88,999,123.24,5,650000
2380,Datsun,5,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000
2381,Hyundai,4,27266,Dealer,Petrol,Manual,18.6,1197,81.83,5,700000
2382,Tata,11,60893,Dealer,Diesel,Manual,11.57,2179,138.1,7,350000
2383,Honda,4,50000,Individual,Petrol,Manual,17.8,1198,86.7,5,550000
2384,Maruti,13,120000,Individual,Diesel,Manual,17.8,1248,75.0,5,250000
2385,Maruti,7,50000,Dealer,Petrol,Manual,20.85,1197,83.14,5,475000
2388,Datsun,4,20000,Dealer,Petrol,Manual,22.5,999,67.0,5,271000
2389,Hyundai,9,62000,Dealer,Petrol,Manual,19.81,1086,68.05,5,255000
2390,Maruti,3,36352,Dealer,Petrol,Manual,19.34,1462,103.0,7,855000
2391,Maruti,6,48000,Dealer,Diesel,Manual,26.21,1248,88.5,5,685000
2392,Maruti,8,78278,Dealer,Diesel,Manual,22.9,1248,74.0,5,475000
2393,Volkswagen,6,100000,Individual,Diesel,Manual,20.14,1498,88.8,5,450000
2395,Tata,3,60204,Dealer,Diesel,Manual,24.7,1047,69.0,5,525000
2396,Hyundai,5,68000,Dealer,Diesel,Manual,22.54,1396,88.73,5,720000
2397,Maruti,11,75008,Dealer,Petrol,Manual,18.9,998,67.1,5,240000
2398,Ford,3,29000,Dealer,Diesel,Manual,23.0,1498,98.96,5,940000
2399,Hyundai,5,83000,Individual,Diesel,Manual,24.8,1396,88.7,5,775000
2401,Hyundai,8,42000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,360000
2403,Skoda,12,61205,Dealer,Petrol,Automatic,13.7,1798,157.75,5,449000
2404,Hyundai,9,87000,Dealer,Diesel,Manual,23.0,1396,90.0,5,460000
2405,Skoda,5,49661,Dealer,Diesel,Automatic,21.66,1498,103.52,5,695000
2406,Hyundai,8,20000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,375000
2407,Maruti,7,56332,Dealer,Petrol,Manual,23.95,998,67.05,5,285000
2408,Tata,3,46000,Individual,Diesel,Manual,17.6,2179,153.86,7,1225000
2409,Maruti,8,37000,Dealer,Petrol,Manual,18.6,1197,85.8,5,410000
2410,Honda,2,7000,Dealer,Petrol,Automatic,19.0,1199,88.7,5,821000
2411,Hyundai,5,40000,Dealer,Petrol,Manual,18.9,1197,82.0,5,510000
2412,Mahindra,4,61000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1025000
2413,Maruti,5,95000,Individual,Petrol,Manual,21.4,1197,83.1,5,550000
2415,Maruti,6,67181,Dealer,Diesel,Manual,26.21,1248,88.5,5,679000
2416,Renault,7,120000,Individual,Petrol,Manual,13.24,1598,102.57,5,545000
2417,Honda,11,84768,Dealer,Petrol,Manual,17.0,1497,118.0,5,275000
2418,Mahindra,5,49490,Dealer,Diesel,Manual,15.4,2179,120.0,7,975000
2419,Maruti,4,33072,Dealer,CNG,Manual,26.08,1462,91.19,7,790000
2420,Maruti,6,92457,Individual,Diesel,Manual,20.77,1248,88.8,7,699000
2421,Mahindra,7,114000,Dealer,Diesel,Manual,15.1,2179,140.0,7,690000
2422,Volkswagen,6,56606,Dealer,Petrol,Automatic,17.21,1197,103.6,5,662000
2423,Hyundai,8,57800,Dealer,Petrol,Manual,17.1,1591,121.3,5,485000
2424,Honda,7,70000,Individual,Diesel,Manual,26.0,1498,98.6,5,520000
2425,Hyundai,7,35000,Individual,Petrol,Manual,18.9,1197,82.0,5,425000
2426,Maruti,6,25000,Individual,Petrol,Manual,20.73,1373,91.1,5,700000
2428,Maruti,3,16348,Dealer,Petrol,Manual,21.4,1197,83.1,5,700000
2429,Maruti,4,21000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,745000
2430,Skoda,10,44275,Dealer,Petrol,Automatic,13.7,1798,157.75,5,535000
2431,Maruti,8,58288,Dealer,CNG,Manual,26.2,998,58.2,5,350000
2432,Mahindra,3,79814,Individual,Petrol,Manual,18.15,1198,82.0,6,500000
2433,Hyundai,8,80000,Individual,Petrol,Automatic,14.5,1797,147.5,5,750000
2434,Hyundai,2,38000,Individual,Diesel,Manual,22.1,1396,88.7,5,1050000
2435,Maruti,7,67800,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000
2436,Maruti,11,49000,Dealer,Petrol,Manual,18.9,998,67.1,5,220000
2437,Honda,5,36070,Dealer,Petrol,Manual,16.8,1497,116.3,5,754000
2438,Ford,9,55500,Dealer,Petrol,Manual,15.6,1196,70.0,5,249000
2439,Skoda,5,48000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,675000
2440,Hyundai,5,35000,Dealer,Petrol,Manual,18.6,1197,81.83,5,578000
2441,Maruti,4,12000,Dealer,CNG,Manual,17.5,1373,80.46,7,845000
2442,Datsun,4,23000,Dealer,Petrol,Manual,22.7,799,53.64,5,310000
2443,Hyundai,4,49000,Dealer,Petrol,Automatic,13.0,1591,121.3,5,1125000
2444,Maruti,12,55274,Dealer,Petrol,Manual,19.7,796,46.3,5,145000
2445,Hyundai,13,60000,Dealer,Petrol,Manual,17.8,1086,63.0,5,135000
2446,Skoda,11,64400,Dealer,Petrol,Automatic,13.7,1798,157.75,5,399000
2447,Maruti,5,100000,Individual,Diesel,Manual,27.39,1248,74.0,5,650000
2448,Maruti,7,94000,Dealer,Petrol,Manual,19.1,1197,85.8,5,475000
2449,Maruti,9,80000,Individual,Petrol,Manual,19.1,1197,85.8,5,400000
2450,Honda,6,59123,Dealer,Petrol,Manual,18.0,1198,86.7,5,475000
2451,Volkswagen,9,62000,Dealer,Petrol,Manual,16.09,1598,103.2,5,370000
2452,Maruti,8,56694,Dealer,Petrol,Manual,19.1,1197,85.8,5,435000
2453,Maruti,3,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,575000
2454,Hyundai,9,78000,Dealer,Petrol,Manual,17.1,1591,121.3,5,500000
2455,Honda,5,13321,Dealer,Petrol,Manual,17.8,1497,117.3,5,750000
2457,Hyundai,8,70000,Individual,Diesel,Manual,21.9,1396,88.76,5,425000
2458,Maruti,6,59769,Dealer,Petrol,Automatic,19.56,1197,81.8,5,575000
2460,Hyundai,3,48000,Dealer,Diesel,Manual,22.54,1396,88.73,5,775000
2461,Maruti,8,70000,Individual,Petrol,Manual,20.2,998,67.1,5,230000
2462,Ford,9,41650,Individual,Diesel,Manual,20.0,1399,68.0,5,295000
2463,Maruti,4,10617,Dealer,Petrol,Manual,24.7,796,47.3,5,314000
2464,Honda,7,56000,Individual,Diesel,Manual,25.8,1498,98.6,5,399000
2465,Maruti,4,9122,Dealer,Petrol,Manual,24.7,796,47.3,5,323000
2466,Maruti,7,100000,Dealer,Diesel,Manual,22.9,1248,74.0,5,485000
2467,Hyundai,5,54000,Dealer,Diesel,Manual,23.0,1396,90.0,5,650000
2468,Maruti,4,85000,Dealer,Diesel,Manual,24.3,1248,88.5,5,735000
2469,Renault,5,51000,Dealer,Petrol,Manual,21.74,999,67.0,5,315000
2470,Mahindra,7,103000,Dealer,Diesel,Manual,15.1,2179,140.0,7,785000
2471,Maruti,4,40174,Dealer,Petrol,Manual,21.4,1197,83.1,5,675000
2472,Honda,4,70000,Individual,Petrol,Automatic,18.0,1497,117.6,5,870000
2473,Maruti,5,70000,Individual,Petrol,Manual,23.1,998,67.04,5,375000
2475,Hyundai,4,56244,Dealer,Diesel,Manual,22.54,1396,88.73,5,795000
2476,Maruti,3,35000,Individual,Diesel,Automatic,24.3,1248,88.5,5,1100000
2477,Hyundai,4,68000,Dealer,Diesel,Automatic,17.6,1582,126.2,5,1340000
2478,Toyota,5,40000,Individual,Diesel,Manual,13.68,2393,147.8,7,1500000
2479,Skoda,11,82000,Dealer,Petrol,Automatic,13.7,1798,157.75,5,375000
2480,Volkswagen,8,110000,Individual,Diesel,Manual,22.07,1199,73.9,5,375000
2481,Maruti,3,9522,Trustmark Dealer,Petrol,Automatic,21.63,998,67.05,5,550000
2482,Skoda,8,70000,Individual,Diesel,Manual,20.5,1598,103.5,5,410000
2483,Maruti,3,22000,Dealer,Petrol,Manual,21.63,998,67.05,5,455000
2484,Volkswagen,10,69000,Dealer,Petrol,Manual,16.09,1598,103.2,5,325000
2485,Hyundai,8,112087,Dealer,Diesel,Automatic,19.5,1582,126.24,5,651000
2486,Hyundai,6,38000,Dealer,Petrol,Manual,18.9,1197,82.0,5,485000
2487,Honda,8,54000,Dealer,Diesel,Manual,25.8,1498,98.6,5,380000
2488,Volkswagen,3,30000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,951000
2489,Skoda,5,72000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,580000
2490,Maruti,4,35000,Dealer,Diesel,Manual,24.52,1248,88.5,7,875000
2491,Maruti,3,49000,Dealer,CNG,Manual,17.5,1373,80.46,7,819000
2492,Maruti,3,17000,Dealer,Petrol,Manual,24.7,796,47.3,5,345000
2493,Maruti,4,32000,Dealer,Diesel,Manual,24.3,1248,88.5,5,845000
2494,Honda,6,43251,Dealer,Diesel,Manual,25.8,1498,98.6,5,515000
2495,Maruti,6,45000,Dealer,Diesel,Manual,19.3,1248,73.9,5,615000
2496,Hyundai,6,25000,Dealer,Petrol,Manual,18.6,1197,81.83,5,571000
2497,Hyundai,9,115721,Dealer,Diesel,Manual,22.32,1582,126.32,5,495000
2498,Honda,8,64800,Dealer,Petrol,Manual,16.8,1497,116.4,5,450000
2499,Maruti,6,120000,Individual,Petrol,Manual,19.0,1197,85.8,5,200000
2500,Maruti,5,50000,Individual,Petrol,Automatic,20.51,998,67.0,5,425000
2501,Hyundai,8,20000,Individual,Petrol,Manual,18.5,1197,82.85,5,425000
2502,Volkswagen,6,52000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,699000
2503,Maruti,8,76000,Dealer,Petrol,Manual,16.02,1373,93.7,7,590000
2504,Mahindra,11,91000,Dealer,Diesel,Manual,13.5,2179,115.0,5,365000
2507,Maruti,3,40000,Individual,Diesel,Manual,27.39,1248,74.0,5,700000
2508,Hyundai,8,42020,Trustmark Dealer,Petrol,Manual,20.36,1197,78.9,5,365000
2509,Honda,6,72000,Dealer,Diesel,Manual,25.8,1498,98.6,5,590000
2510,Maruti,3,37000,Dealer,Petrol,Manual,19.34,1462,103.0,7,825000
2512,Volkswagen,4,41000,Dealer,Petrol,Automatic,18.19,1197,103.5,5,750000
2513,Hyundai,6,85000,Dealer,Diesel,Manual,24.0,1120,70.0,5,385000
2514,Ford,6,60000,Individual,Diesel,Manual,22.77,1498,98.59,5,650000
2515,Honda,6,98500,Dealer,Diesel,Manual,25.8,1498,98.6,5,500000
2517,Tata,3,10000,Individual,Diesel,Manual,27.28,1047,69.0,5,500000
2518,Maruti,3,23000,Dealer,Petrol,Automatic,20.51,998,67.0,5,465000
2519,Honda,12,50000,Dealer,Petrol,Manual,16.0,1198,90.0,5,299000
2520,Ford,7,38000,Dealer,Diesel,Manual,22.7,1498,89.84,5,650000
2521,Skoda,10,62500,Dealer,Petrol,Automatic,13.7,1798,157.75,5,499000
2522,Hyundai,4,27000,Dealer,Petrol,Manual,17.19,1197,81.86,5,595000
2523,Hyundai,11,77000,Dealer,Petrol,Manual,20.36,1197,78.9,5,255000
2524,Ford,7,52034,Dealer,Petrol,Manual,15.8,1499,110.0,5,575000
2525,Renault,5,25600,Individual,Petrol,Manual,25.17,799,53.3,5,280000
2526,Volkswagen,10,76000,Dealer,Diesel,Manual,20.54,1598,103.6,5,310000
2527,Mahindra,5,92000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1235000
2528,Volkswagen,10,78265,Dealer,Diesel,Manual,20.54,1598,103.6,5,375000
2529,Hyundai,2,31000,Dealer,CNG,Manual,30.48,1086,58.0,5,540000
2530,Maruti,10,80500,Dealer,Diesel,Manual,22.9,1248,74.0,5,400000
2531,Maruti,5,45000,Dealer,Diesel,Automatic,26.59,1248,74.0,5,695000
2532,Maruti,13,100000,Individual,Diesel,Manual,17.8,1248,75.0,5,265000
2533,Maruti,6,34000,Dealer,Petrol,Manual,16.1,1197,85.0,5,450000
2534,Maruti,9,70000,Individual,Diesel,Manual,22.9,1248,74.0,5,499000
2535,Maruti,12,67833,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
2536,Honda,4,60000,Individual,Diesel,Manual,25.5,1498,98.6,5,775000
2537,Ford,6,90000,Individual,Petrol,Automatic,15.63,1499,110.4,5,530000
2538,Maruti,5,72000,Dealer,Diesel,Manual,24.52,1248,88.5,7,840000
2539,Honda,7,66475,Dealer,Petrol,Manual,17.8,1497,117.3,5,575000
2540,Maruti,9,82000,Dealer,Diesel,Manual,26.59,1248,74.0,5,481000
2541,Volkswagen,5,50000,Individual,Diesel,Automatic,22.15,1498,108.6,5,725000
2542,Hyundai,2,14000,Dealer,Diesel,Manual,22.0,1582,126.2,5,1125000
2543,Maruti,7,63000,Dealer,Petrol,Manual,15.37,1196,72.42,7,295000
2544,Maruti,4,30726,Dealer,Petrol,Manual,21.1,998,100.0,5,659000
2545,Skoda,11,59000,Dealer,Diesel,Automatic,17.2,1968,138.03,5,549000
2546,Volkswagen,7,70462,Dealer,Diesel,Automatic,21.21,1498,103.2,5,540000
2547,Renault,3,10000,Individual,Petrol,Manual,23.01,999,67.0,5,375000
2548,Hyundai,5,48303,Dealer,Petrol,Manual,18.9,1197,82.0,5,455000
2549,Maruti,6,41000,Dealer,Petrol,Manual,20.73,1373,91.1,5,600000
2550,Volkswagen,8,90000,Individual,Diesel,Manual,20.54,1598,103.6,5,520000
2551,Maruti,9,34000,Individual,Petrol,Manual,19.1,1197,85.8,5,455000
2552,Maruti,3,17000,Dealer,Petrol,Manual,21.21,1197,81.8,5,705000
2553,Maruti,7,40000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
2554,Hyundai,4,51962,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
2555,Maruti,4,18400,Dealer,Petrol,Automatic,21.63,998,67.04,5,485000
2556,Maruti,8,77000,Dealer,CNG,Manual,26.6,998,58.16,5,335000
2559,Ford,9,43500,Dealer,Diesel,Manual,20.0,1399,68.0,5,310000
2560,Ford,3,28015,Individual,Petrol,Manual,17.0,1497,121.31,5,850000
2562,Maruti,4,34000,Individual,Petrol,Manual,20.89,1197,81.8,5,449000
2563,Honda,10,78000,Dealer,Petrol,Manual,17.0,1497,118.0,5,265000
2564,Volkswagen,9,45710,Dealer,Petrol,Manual,16.47,1198,73.9,5,354000
2565,Maruti,3,50000,Individual,Diesel,Manual,28.4,1248,74.0,5,685000
2567,Maruti,5,55275,Dealer,Diesel,Manual,24.3,1248,88.5,5,825000
2569,Mahindra,1,40000,Individual,Diesel,Manual,16.5,1493,70.0,7,750000
2570,Hyundai,4,67000,Dealer,Petrol,Manual,18.9,1197,82.0,5,519000
2571,Hyundai,10,63000,Dealer,Petrol,Manual,20.36,1197,78.9,5,230000
2572,Ford,9,69000,Dealer,Diesel,Manual,20.0,1399,68.0,5,235000
2573,Maruti,3,23000,Individual,Petrol,Manual,22.0,1197,81.8,5,750000
2574,Maruti,4,44827,Dealer,Petrol,Manual,20.89,1197,81.8,5,495000
2575,Maruti,15,64659,Dealer,Petrol,Manual,17.3,1061,64.0,5,110000
2576,Maruti,11,29000,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
2577,Maruti,5,49000,Dealer,Petrol,Manual,22.74,796,47.3,5,300000
2578,Renault,4,35500,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
2579,Renault,5,35000,Individual,Petrol,Manual,25.17,799,53.3,5,250000
2580,Maruti,8,37000,Dealer,Petrol,Manual,19.1,1197,85.8,5,445000
2581,Hyundai,6,40103,Dealer,Petrol,Manual,18.9,1197,82.0,5,440000
2582,Volkswagen,4,25000,Individual,Petrol,Automatic,18.19,1197,103.5,5,850000
2585,Hyundai,7,31847,Dealer,Petrol,Manual,18.5,1197,80.0,5,485000
2586,Maruti,3,31000,Dealer,Petrol,Manual,20.65,1462,103.25,5,799000
2587,Maruti,9,66539,Dealer,Petrol,Manual,18.6,1197,85.8,5,250000
2588,Volkswagen,5,49000,Dealer,Petrol,Automatic,17.21,1197,103.5,5,650000
2589,Mahindra,4,19838,Dealer,Petrol,Manual,18.15,1198,82.0,6,475000
2590,Hyundai,1,5000,Dealer,Petrol,Manual,20.7,1197,81.86,5,725000
2591,Honda,8,119462,Dealer,Diesel,Manual,24.7,1498,98.63,5,425000
2592,Ford,6,78000,Dealer,Petrol,Manual,18.88,999,123.37,5,635000
2593,Maruti,5,70000,Individual,Petrol,Automatic,20.51,998,67.0,5,420000
2594,Ford,5,80000,Individual,Diesel,Manual,25.83,1498,99.0,5,400000
2595,Honda,2,20000,Dealer,Petrol,Automatic,18.0,1497,117.6,5,1125000
2596,Maruti,4,100000,Individual,Diesel,Manual,28.09,1248,88.5,5,625000
2597,Hyundai,2,30000,Individual,Diesel,Manual,24.0,1396,88.76,5,995000
2598,Maruti,5,25603,Dealer,Petrol,Manual,22.74,796,47.3,5,291000
2600,Hyundai,8,52891,Dealer,Petrol,Manual,18.6,1197,81.83,5,450000
2601,Hyundai,7,59586,Dealer,Petrol,Manual,19.81,1086,68.05,5,300000
2603,Hyundai,4,61462,Dealer,Diesel,Manual,21.38,1396,88.7,5,970000
2604,Maruti,8,52000,Dealer,Diesel,Manual,28.4,1248,74.02,5,395000
2605,Skoda,5,50000,Dealer,Petrol,Manual,15.0,1598,103.52,5,570000
2606,Honda,10,66000,Dealer,Petrol,Manual,16.0,1198,90.0,5,325000
2607,Hyundai,11,90000,Individual,Diesel,Manual,23.0,1396,90.0,5,310000
2608,Maruti,6,59000,Dealer,Petrol,Manual,15.1,1196,73.0,7,365000
2609,Hyundai,9,40000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,335000
2610,Mahindra,5,95000,Individual,Diesel,Automatic,16.0,2179,140.0,7,875000
2612,Tata,9,100000,Individual,Diesel,Manual,11.57,2179,138.1,7,280000
2613,Hyundai,5,100000,Individual,Diesel,Manual,23.9,1582,126.2,5,700000
2614,Mahindra,11,97000,Dealer,Diesel,Manual,10.5,2179,120.0,7,475000
2615,Hyundai,5,90000,Individual,Diesel,Manual,22.54,1396,88.73,5,540000
2616,Hyundai,4,7000,Individual,Petrol,Manual,18.9,1197,82.0,5,490000
2617,Maruti,4,80000,Individual,Diesel,Manual,24.3,1248,88.5,5,830000
2618,Maruti,6,56562,Dealer,Diesel,Manual,25.2,1248,74.0,5,540000
2619,Maruti,3,25000,Individual,Petrol,Manual,22.0,1197,81.8,5,550000
2620,Volkswagen,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,491000
2621,Maruti,6,36681,Dealer,Petrol,Manual,20.73,1373,91.1,5,611000
2622,Hyundai,5,80000,Dealer,Petrol,Manual,13.0,1591,121.3,5,925000
2624,Tata,8,120000,Individual,Diesel,Manual,14.0,2179,138.1,7,425000
2625,Maruti,5,22756,Dealer,Petrol,Manual,21.79,998,67.05,5,421000
2626,Tata,8,63000,Dealer,Diesel,Manual,13.93,2179,138.03,7,450000
2627,Maruti,15,80000,Individual,Petrol,Manual,19.7,796,46.3,5,60000
2629,Skoda,6,27000,Dealer,Petrol,Manual,15.0,1598,103.6,5,525000
2630,Hyundai,3,55373,Dealer,Diesel,Manual,22.54,1396,88.73,5,750000
2631,Hyundai,3,22000,Dealer,Diesel,Manual,22.1,1396,88.7,5,1015000
2632,Maruti,8,80000,Dealer,Diesel,Manual,20.77,1248,88.8,7,711000
2633,Maruti,9,120000,Individual,Diesel,Manual,19.3,1248,73.9,5,460000
2634,Mahindra,9,68420,Dealer,Diesel,Manual,15.1,2179,140.0,7,615000
2635,Maruti,7,63000,Dealer,Diesel,Manual,23.4,1248,74.0,5,595000
2636,Maruti,3,35000,Dealer,Diesel,Manual,26.32,1498,93.87,5,755000
2637,Maruti,5,64850,Individual,CNG,Manual,21.94,1196,61.7,5,320000
2638,Mahindra,6,51000,Dealer,Diesel,Manual,15.1,2179,140.0,7,945000
2639,Hyundai,4,48000,Dealer,Petrol,Manual,18.6,1197,81.83,5,600000
2640,Hyundai,10,58222,Dealer,Diesel,Manual,22.32,1582,126.32,5,421000
2641,Maruti,13,30008,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
2642,Maruti,3,10398,Dealer,Diesel,Manual,27.39,1248,74.0,5,840000
2643,Maruti,5,90000,Individual,Petrol,Manual,20.85,1197,83.14,5,550000
2645,Hyundai,4,30000,Individual,Petrol,Manual,18.9,1197,81.86,5,480000
2646,Hyundai,8,64308,Dealer,Diesel,Automatic,18.0,1582,126.2,5,485000
2647,Maruti,11,53503,Dealer,Petrol,Manual,19.7,796,46.3,5,175000
2648,Hyundai,7,24835,Trustmark Dealer,Petrol,Manual,17.43,1396,105.5,5,575000
2649,Maruti,4,14000,Dealer,Petrol,Manual,20.4,1197,81.8,5,500000
2650,Honda,6,48623,Dealer,Petrol,Manual,17.8,1498,119.35,5,670000
2651,Maruti,7,96000,Dealer,Diesel,Manual,28.4,1248,74.0,5,490000
2652,Hyundai,3,23000,Dealer,Petrol,Manual,18.6,1197,81.83,5,751000
2653,Hyundai,9,88500,Dealer,Diesel,Manual,22.32,1582,126.32,5,550000
2654,Tata,4,11500,Dealer,Petrol,Automatic,23.84,1199,83.83,5,535000
2655,Ford,6,29500,Dealer,Petrol,Automatic,15.63,1499,110.4,5,655000
2656,Volkswagen,4,51952,Dealer,Diesel,Manual,20.14,1498,88.0,5,750000
2658,Tata,3,5000,Dealer,Petrol,Manual,23.84,1199,84.0,5,565000
2659,Maruti,10,9000,Dealer,Petrol,Manual,19.7,796,46.3,5,160000
2660,Honda,11,34000,Dealer,Petrol,Manual,17.0,1497,118.0,5,325000
2661,Hyundai,7,41000,Dealer,Petrol,Manual,18.5,1197,80.0,5,385000
2662,Renault,4,7489,Individual,Diesel,Manual,19.6,1461,108.45,5,900000
2663,Maruti,3,41000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,895000
2664,Maruti,5,53085,Dealer,Diesel,Manual,24.3,1248,88.5,5,825000
2665,Hyundai,7,44000,Dealer,Petrol,Manual,17.0,1197,80.0,5,535000
2666,Volkswagen,10,84000,Dealer,Petrol,Manual,15.04,1598,103.6,5,260000
2667,Volkswagen,4,49000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,695000
2668,Maruti,15,55000,Dealer,Petrol,Manual,16.1,1197,85.0,5,145000
2669,Renault,2,10000,Individual,Petrol,Manual,20.0,999,72.0,7,660000
2670,Maruti,9,90339,Dealer,Petrol,Manual,16.02,1373,93.7,7,495000
2671,Hyundai,5,14000,Individual,Petrol,Manual,18.9,1197,82.0,5,495000
2672,Skoda,8,69000,Dealer,Petrol,Manual,15.0,1598,105.0,5,325000
2673,Honda,15,89000,Individual,Petrol,Manual,17.7,1497,78.0,5,113000
2674,Mahindra,7,120000,Individual,Diesel,Manual,15.4,2179,120.0,7,800000
2675,Hyundai,3,26000,Dealer,Diesel,Automatic,19.08,1582,126.2,5,1245000
2676,Tata,11,120000,Individual,Diesel,Manual,13.93,2179,138.1,7,250000
2677,Volkswagen,7,59200,Dealer,Petrol,Automatic,16.93,1197,103.2,5,540000
2678,Maruti,3,35000,Individual,Petrol,Manual,23.95,998,67.1,5,350000
2680,Maruti,4,21900,Dealer,Petrol,Automatic,19.56,1197,81.8,5,700000
2681,Maruti,6,43206,Dealer,Petrol,Manual,20.85,1197,83.14,5,480000
2682,Volkswagen,7,43000,Dealer,Petrol,Manual,16.47,1198,73.9,5,479000
2683,Hyundai,4,77000,Individual,Diesel,Manual,21.38,1396,88.7,5,1100000
